,address,city,name,rating,review_count
0,1702 N Cockrell Hill Rd,Dallas,KFC,3.0,4
0,7975 Belt Line Rd,Dallas,KFC,1.5,16
0,106 W Illinois Ave,Dallas,KFC,1.5,4
0,1801 S Buckner Blvd,Dallas,KFC,2.5,2
0,2802 E Ledbetter Dr,Dallas,KFC,1.0,3
0,3415 W Camp Wisdom Rd,Dallas,KFC,1.5,6
0,6464 E Northwest Hwy,Dallas,Applebee's Grill + Bar,2.0,154
0,3426 W Illinois Ave,Dallas,Applebee's Grill + Bar,2.0,49
0,3565 Frankford Rd,Dallas,Applebee's Grill + Bar,2.0,164
0,2400 Aviation Dr,Dallas,Applebee's Grill + Bar,2.0,7
0,10280 Technology Blvd E,Dallas,Olive Garden Italian Restaurant,3.0,92
0,9079 Vantage Point Dr,Dallas,Olive Garden Italian Restaurant,3.0,92
0,3351 Canyon Bluff Blvd,Dallas,Olive Garden Italian Restaurant,3.0,40
0,2810 W Wheatland Rd,Dallas,Arby's,4.0,12
0,6751 Abrams Rd,Dallas,Little Caesars,3.0,8
0,2142 Fort Worth Ave,Dallas,Little Caesars,3.5,5
0,2515 Inwood Rd,Dallas,Little Caesars,2.5,8
0,10053 Marsh Ln,Dallas,Little Caesars,3.0,5
0,655 W Illinois Ave,Dallas,Little Caesars,2.0,4
0,3200 S Lancaster Rd,Dallas,Little Caesars,3.0,2
0,10325 Lake June Rd,Dallas,Little Caesars,3.0,2
0,1140 W Camp Wisdom Rd,Dallas,Little Caesars,2.5,2
0,4140 Lemmon Ave,Dallas,Buffalo Wild Wings,2.5,239
0,3333 Canyon Bluff Blvd,Dallas,Buffalo Wild Wings,1.5,69
0,5000 Belt Line Rd,Dallas,Buffalo Wild Wings,3.0,212
0,6445 Eastridge Dr,Dallas,Dairy Queen,1.5,14
0,2127 Fort Worth Ave,Dallas,Dairy Queen,2.5,26
0,14815 Coit Road,Dallas,Dairy Queen,2.5,53
0,332 S St Augustine,Dallas,Dairy Queen,2.5,3
0,8150 S Polk,Dallas,Dairy Queen,1.0,1
0,1811 S Beltline Rd,Dallas,Dairy Queen,3.0,2
0,4439 Lemmon Ave,Dallas,McDonald's,2.5,38
0,4151 N Central Expy,Dallas,McDonald's,2.0,35
0,5960 Greenville Ave,Dallas,McDonald's,1.5,46
0,5403 Ross Ave,Dallas,McDonald's,2.0,22
0,6950 Greenville Ave,Dallas,McDonald's,1.5,25
0,5934 Abrams Rd,Dallas,McDonald's,2.0,15
0,3802 Gaston Ave,Dallas,McDonald's,2.5,35
0,700 N Pearl St,Dallas,McDonald's,2.0,7
0,10720 Preston Rd,Dallas,McDonald's,2.5,11
0,650 N Riverfront Blvd,Dallas,McDonald's,1.5,32
0,407 N Lamar St,Dallas,McDonald's,1.0,25
0,3520 Storey Ln,Dallas,McDonald's,2.0,5
0,1000 Commerce St,Dallas,McDonald's,2.0,63
0,8390 N Stemmons,Dallas,McDonald's,1.5,11
0,7233 John W Carpenter Fwy,Dallas,McDonald's,2.0,16
0,5337 E Grand Ave,Dallas,McDonald's,1.5,17
0,11102 Central Expy,Dallas,McDonald's,2.0,28
0,3310 Al Lipscomb Way,Dallas,McDonald's,1.5,12
0,3026 Hampton Rd,Dallas,McDonald's,1.5,18
0,9403 Garland Rd,Dallas,McDonald's,1.5,18
0,3750 Forest Ln,Dallas,McDonald's,1.5,30
0,8606 Skillman St,Dallas,McDonald's,1.5,40
0,10695 E Northwest Hwy,Dallas,McDonald's,1.5,20
0,13105 Montfort Dr,Dallas,McDonald's,2.5,72
0,2197 W Northwest Hwy,Dallas,McDonald's,2.0,8
0,9301 Forest Ln,Dallas,McDonald's,1.5,4
0,11820 Abrams Rd,Dallas,McDonald's,1.5,17
0,13040 Coit Rd,Dallas,McDonald's,2.0,30
0,13350 Dallas Pkwy,Dallas,McDonald's,2.5,5
0,8117 E Rl Thornton Fwy,Dallas,McDonald's,1.5,15
0,632 S Rl Thornton Fwy,Dallas,McDonald's,2.0,19
0,11217 Garland Rd,Dallas,McDonald's,1.5,11
0,2747 Fort Worth Ave,Dallas,McDonald's,1.5,7
0,2475 Royal Ln,Dallas,McDonald's,2.0,12
0,705 W Jefferson,Dallas,McDonald's,5.0,5
0,7401 Samuell Blvd,Dallas,McDonald's,2.0,6
0,2551 Gus Thomasson Rd,Dallas,McDonald's,2.5,8
0,11749 Plano Rd,Dallas,McDonald's,1.5,20
0,4330 Dallas Ft Worth Tpke,Dallas,McDonald's,2.0,8
0,14770 Preston Rd,Dallas,McDonald's,2.0,22
0,1521 N Cockrell Hill Rd,Dallas,McDonald's,2.0,9
0,1415 E Illinois,Dallas,McDonald's,1.5,3
0,15220 Montford Dr,Dallas,McDonald's,2.5,6
0,2407 S Hampton Rd,Dallas,McDonald's,1.5,12
0,2215 S Buckner Blvd,Dallas,McDonald's,1.0,11
